taxon,broad_cat,col,calcification,geometry,ctd_group
Branching,coral,#dd3497,calcifying,branches,branching_open;branching_closed;hispidose
Tabular,coral,#7a0177,calcifying,branches,tables_or_plates
Corymbose,coral,#fde0dd,calcifying,branches,corymbose;digitate
Encrusting,coral,#fa9fb5,calcifying,flat,encrusting
Laminar,coral,#A900E7,calcifying,cone,laminar;encrusting_long_uprights
Hemispherical,coral,#fcc5c0,calcifying,hemisphere,massive;submassive;columnar
ahermatypic coral,not_used,slategrey,not_calcifying,NA,NA
canopy forming macroalgae,algae,#9FD6C3,not_calcifying,branches,NA
seagrass,not_used,#005a32,not_calcifying,NA,NA
understory macroalgae,algae,#AAFD01,not_calcifying,branches,NA
fleshy algae,algae,#38A900,not_calcifying,branches,NA
Halimeda,cca,#CDF67A,calcifying,branches,NA
turf algae,turf,#74c476,not_calcifying,flat,NA
slime,not_used,#00A985,not_calcifying,NA,NA
coralline algae,cca,#1d91c0,calcifying,flat,NA
encrusting algae,cca,#BFE9FF,calcifying,NA,NA
other sessile invert,not_used,#A97000,NA,NA,NA
coral rubble,turf,#FFAB00,NA,NA,NA
Sand,sand,#FFEBBF,NA,NA,NA
Rock,turf,grey85,NA,NA,NA